Average Temperature (°C),Annual Rainfall (mm),Vegetation Density (% coverage),Predator Presence (0 or 1),Human Disturbance Index,Altitude (meters),Water Source Availability (0 or 1),Habitat Suitability
20.009526861154825,1270.4078731948653,90.1427539587776,1,0.3927501835387099,355.4330409643501,1,1
16.228575735887503,1419.8815041005018,58.24659365550606,0,0.3565562236883562,64.890244602486,1,1
25.47263783794234,991.7503742041594,57.89806000557677,1,0.8328558086179211,301.4262589242604,1,0
34.03044558918481,1431.8242309206585,41.89206723646341,1,0.0443468619536011,390.15226933748494,1,0
38.33452611160004,1018.26294572227,56.81459732600451,1,0.30842108882868,450.5841126384561,1,0
25.48577893543124,923.9088191667298,91.01317924301952,1,0.6794085575951299,274.0665081378926,1,0
30.58340637533761,873.9083091629045,55.41900973427451,1,0.5654434995653427,401.838706700716,1,0
26.160473189642687,1327.4164815985484,96.61224937498515,1,0.4362893592936943,273.8025223028827,1,1
27.494415973841065,843.9712237224456,96.24162294458712,0,0.5399482272213844,474.8361296903334,1,0
23.289256744363804,1147.0538619949975,40.14290615151423,1,0.1975845858283182,285.3817343274769,1,0
25.97538462711301,888.1672329881583,42.41178774658514,0,0.4307166216080104,330.2190687259071,1,0
27.687393523032146,907.9386474851274,90.38718492323224,0,0.5017029841763491,238.26317380217225,1,0
22.107701355618342,1206.0499387939135,57.49326432473035,1,0.9011891219546015,469.2998608860432,1,0
24.61252850053506,923.9926307421292,30.306178759810653,1,0.2608351628039763,326.7104460095203,1,0
24.70784940501256,919.0409241159414,49.17102737937597,0,0.8678285021649326,681.3568533350858,1,0
29.132016586652625,1226.5609394349617,71.8340295236892,1,0.6442414008259819,581.1700533385798,1,0
19.6698391418616,1319.4794586443245,85.94861761719775,1,0.0203408310676009,486.0296263632714,1,1
24.742288956961744,1128.9379606568466,39.337203196528165,0,0.7246313368993936,340.5029005312423,1,0
34.560027345263485,869.0460448752101,37.73789550917147,1,0.035551877549055,576.1040610632606,1,0
30.820300762929687,897.8783001404842,94.5464857500632,1,0.9973811268138132,638.1401778697274,1,0
31.745895244443524,1015.9830527480076,82.58038574758078,0,0.8726366876911978,528.5376824403261,1,0
25.12215920089017,1064.1860123851316,71.28457205446549,1,0.2973437475400456,820.7403710933861,1,1
26.604987818430114,802.4268179720457,83.84307529971497,1,0.2574112301967054,591.9274636149632,1,1
30.011180833514626,1144.6075879159728,60.01980529146469,1,0.3814410821056089,682.7214435136068,1,0
32.80127764765466,1017.1026659279198,83.09190231163886,1,0.356166965314443,526.7130831071956,1,0
15.241985435585567,656.8583362723741,56.0262093892175,0,0.372337818385381,635.1328906513953,1,1
18.42279346475077,814.214703507854,47.08662007448217,1,0.3182765461194804,340.6437534661649,1,0
31.54722050701324,899.1742652696672,81.0309394905078,0,0.6211334068483314,408.3203273574412,0,0
23.61555322115598,985.428462231789,59.37706045100878,1,0.1642636637206239,569.8727106964759,1,1
21.641396053709613,1377.855759100799,98.69639730283365,1,0.8459812924460132,568.4198963114764,1,0
18.72919506502198,1047.6342612279257,54.46396276156708,0,0.8124024840313153,601.5223645886495,1,0
22.22491649227945,831.845622020275,94.5209194371746,1,0.4764832078552704,720.0785784557459,1,1
17.988153582880877,1044.1261608614327,95.30737839969557,0,0.8527299652785476,215.0057656369176,1,0
35.45547136366238,929.5824505092238,46.92970629453223,1,0.2471450700302933,305.1094904779408,0,0
24.88781974009713,1064.9516479067083,85.87548271116094,1,0.0175654557039669,545.9145282148506,1,1
24.710247291186413,1116.113537407123,60.31521536011956,0,0.619207925029823,355.1272736393079,0,0
27.94038337583916,1241.8461294447875,94.22673090612436,1,0.4579094069647154,1175.5536482578725,1,1
29.81172584633285,995.1427008659948,61.50869908446671,1,0.5671645462958707,603.1439238340272,1,0
